peak_g_mag,std_g_mag,peak_hp8_vertical,peak_jerk_mag,max_elevated_dur,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
5.9299,1.0447286285644035,3.038564762965926,338.2844077133913,0.021,False,2026-06-25T20:01:14.530Z,568.761,52,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
7.93886,1.358018174027662,4.104581893397517,367792.7022114499,0.02,False,2026-06-25T20:01:15.147Z,569.379,114,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
13.51083,2.614816037227987,8.976450712464215,7104550.383894819,0.05,True,2026-06-25T20:01:18.276Z,572.508,428,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
6.74722,1.3590983478924037,2.2717980029461318,325.4700536239855,0.01,False,2026-06-25T20:01:19.372Z,573.603,538,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
16.53241,1.9948188900994752,2.9989457747979578,1208.3899297168111,0.04,True,2026-06-25T20:01:21.614Z,575.845,763,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
14.02778,2.2277808090618336,9.927864438430182,1081.7133643350255,0.03,False,2026-06-25T20:01:23.228Z,577.46,925,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
29.23487,4.045191398685255,8.68146906322891,1833.400892257064,0.149,True,2026-06-25T20:01:26.118Z,580.349,1215,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.95929,1.2141862214977528,3.2684880869134894,368.0530713062995,0.01,False,2026-06-25T20:01:27.981Z,582.212,1402,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.91952,1.1692050988350424,3.155274700059589,372785.6996989021,0.06,False,2026-06-25T20:14:53.482Z,1387.713,1555,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.91952,1.1026463387728669,3.155274700059589,372785.6996989021,0.06,False,2026-06-25T20:14:53.960Z,1388.192,1603,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
