peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
5.9299,1.0447286285644035,3.0071185714285718,3.038564762965926,2.6965189845515027,338.2844077133913,0.021,0.9788506399970758,0.3877299999999999,4.11172,False,2026-06-25T20:01:14.530Z,568.761,52,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
7.93886,1.358018174027662,3.793013333333333,4.104581893397517,3.284947295557926,367792.7022114499,0.02,1.1292619606094052,0.70811,5.11504,False,2026-06-25T20:01:15.147Z,569.379,114,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
13.51083,2.614816037227987,7.64491875,8.976450712464215,6.55981338115127,7104550.383894819,0.05,2.9105883810857858,0.7283999999999999,12.032779999999999,True,2026-06-25T20:01:18.276Z,572.508,428,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
6.74722,1.3590983478924037,5.071545625000001,2.2717980029461318,4.026406024360466,325.4700536239855,0.01,2.503706068991692,1.2704199999999999,4.49317,False,2026-06-25T20:01:19.372Z,573.603,538,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
16.53241,1.9948188900994752,6.0203560000000005,2.9989457747979578,5.823764703476609,1208.3899297168111,0.04,9.405899985719548,0.38470000000000004,9.89029,True,2026-06-25T20:01:21.614Z,575.845,763,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
14.02778,2.2277808090618336,5.370034,9.927864438430182,5.072128471754897,1081.7133643350255,0.03,2.729230133231012,0.60836,6.5049,False,2026-06-25T20:01:23.228Z,577.46,925,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
29.23487,4.045191398685255,9.95641875,8.68146906322891,9.89054513968928,1833.400892257064,0.149,11.972275547603486,0.9394699999999999,27.28002,True,2026-06-25T20:01:26.118Z,580.349,1215,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.95929,1.2141862214977528,2.9166673333333333,3.2684880869134894,2.65858235781779,368.0530713062995,0.01,2.3820492958802757,0.27120999999999995,5.85374,False,2026-06-25T20:01:27.981Z,582.212,1402,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.91952,1.1692050988350424,3.408641875,3.155274700059589,2.894813638664845,372785.6996989021,0.06,1.0802473890170818,0.34037000000000006,4.71908,False,2026-06-25T20:14:53.482Z,1387.713,1555,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.91952,1.1026463387728669,3.45333625,3.155274700059589,2.896575207864021,372785.6996989021,0.06,1.0802473890170818,1.05511,4.14954,False,2026-06-25T20:14:53.960Z,1388.192,1603,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
10.9237,1.9186567830599977,5.3805925,8.060828827016316,4.581498813291072,825.7459320263104,0.029,2.1510569011189884,0.59049,8.87239,True,2026-06-25T20:14:56.829Z,1391.061,1891,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
6.10517,1.2093073137415453,3.6195013333333335,2.2007056788504267,3.189564032227602,346.7404803092999,0.01,1.8097661040224264,1.75603,4.02043,False,2026-06-25T20:14:58.045Z,1392.276,2013,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
8.89674,1.5194913768503704,6.29005125,4.52265249241429,4.820004800682905,545.1973720182036,0.08,1.850668332046965,0.6543699999999999,7.76873,True,2026-06-25T20:15:00.216Z,1394.448,2231,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
8.89674,1.5848442833070915,6.29005125,4.52265249241429,4.820004800682905,545.1973720182036,0.08,1.850668332046965,0.56233,7.76873,True,2026-06-25T20:15:00.545Z,1394.777,2264,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.84838,1.2078840257291934,3.204313125,3.25760005068099,2.5280827235476298,345.4123197050157,0.01,1.11343626116091,0.55642,5.49476,False,2026-06-25T20:15:01.681Z,1395.912,2378,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.15663,1.102236304079552,3.2955625,2.633917273225328,2.827904516147366,229.6303449851522,0.02,1.3349530994157464,1.00602,5.49476,False,2026-06-25T20:15:02.328Z,1396.56,2443,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.9173,1.0750885066908455,3.935457333333333,3.1048495027718914,3.2504572351932275,401.8757858605069,0.04,1.7276086633292518,0.51846,7.23169,False,2026-06-25T20:15:04.261Z,1398.492,2637,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
12.20141,1.803583625796664,5.464275333333334,7.400291679972293,5.0648347598060885,949.5271626186463,0.03,3.74949341615957,0.6467300000000001,12.62426,True,2026-06-25T20:15:05.008Z,1399.239,2712,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
8.5086,1.5698295378316314,3.836450666666667,4.485847974359939,3.6933201132052806,2172604.937626719,0.02,2.2734850023093007,0.9789500000000001,4.9622,False,2026-06-25T20:15:05.945Z,1400.176,2806,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.04327,0.9146067538005671,2.859398,2.257191118702899,2.3794948293408837,254.22095518859177,0.031,1.146018440170976,0.59473,6.4759,False,2026-06-25T20:31:33.347Z,2387.579,2955,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
